Frame,Global_Density
0,0.00014103949069976807
1,0.00014106184244155884
2,0.0001410841941833496
3,0.00014110654592514038
4,0.00014112889766693115
5,0.00014115124940872192
6,0.0001411736011505127
7,0.00014119595289230347
8,0.00014121830463409424
9,0.000141240656375885
10,0.00014126300811767578
11,0.00014128535985946655
12,0.00014130771160125732
13,0.0001413300633430481
14,0.00014135241508483887
15,0.00014137476682662964
16,0.0001413971185684204
17,0.00014141947031021118
18,0.00014144182205200195
19,0.00014146417379379272
20,0.0001414865255355835
21,0.00014150887727737427
22,0.00014153122901916504
23,0.0001415535807609558
24,0.00014157593250274658
25,0.00014159828424453735
26,0.00014162063598632812
27,0.0001416429877281189
28,0.00014166533946990967
29,0.00014168769121170044
30,0.0001417100429534912
31,0.00014173239469528198
32,0.00014175474643707275
33,0.00014177709817886353
34,0.0001417994499206543
35,0.00014182180166244507
36,0.00014184415340423584
37,0.0001418665051460266
38,0.00014188885688781738
39,0.00014191120862960815
40,0.00014193356037139893
41,0.0001419559121131897
42,0.00014197826385498047
43,0.00014200061559677124
44,0.000142022967338562
45,0.00014204531908035278
46,0.00014206767082214355
47,0.00014209002256393433
48,0.0001421123743057251
49,0.00014213472604751587
50,0.00014215707778930664
51,0.0001421794295310974
52,0.00014220178127288818
53,0.00014222413301467896
54,0.00014224648475646973
55,0.0001422688364982605
56,0.00014229118824005127
57,0.00014231353998184204
58,0.0001423358917236328
59,0.00014235824346542358
60,0.00014238059520721436
61,0.00014240294694900513
62,0.0001424252986907959
63,0.00014244765043258667
64,0.00014247000217437744
65,0.0001424923539161682
66,0.00014251470565795898
67,0.00014253705739974976
68,0.00014255940914154053
69,0.0001425817608833313
70,0.000142611563205719
71,0.00014263391494750977
72,0.00014265626668930054
73,0.0001426786184310913
74,0.00014270097017288208
75,0.00014272332191467285
76,0.00014274567365646362
77,0.0001427680253982544
78,0.00014279037714004517
79,0.00014281272888183594
80,0.0001428350806236267
81,0.00014285743236541748
82,0.00014287978410720825
83,0.00014290213584899902
84,0.0001429244875907898
85,0.00014294683933258057
86,0.00014296919107437134
87,0.0001429915428161621
88,0.00014301389455795288
89,0.00014303624629974365
90,0.00014305859804153442
91,0.0001430809497833252
92,0.00014310330152511597
93,0.00014312565326690674
94,0.0001431480050086975
95,0.00014317035675048828
96,0.00014319270849227905
97,0.00014321506023406982
98,0.0001432374119758606
99,0.00014325976371765137
100,0.00014328211545944214
101,0.0001433044672012329
102,0.0001433342695236206
103,0.00014335662126541138
104,0.00014337897300720215
105,0.00014340132474899292
106,0.0001434236764907837
107,0.00014344602823257446
108,0.00014346837997436523
109,0.000143490731716156
110,0.00014351308345794678
111,0.00014353543519973755
112,0.00014355778694152832
113,0.0001435801386833191
114,0.00014360249042510986
115,0.00014362484216690063
116,0.0001436471939086914
117,0.00014366954565048218
118,0.00014369189739227295
119,0.00014371424913406372
120,0.0001437366008758545
121,0.00014375895261764526
122,0.00014378130435943604
123,0.0001438036561012268
124,0.0001438334584236145
125,0.00014385581016540527
126,0.00014387816190719604
127,0.00014390051364898682
128,0.0001439228653907776
129,0.00014394521713256836
130,0.00014396756887435913
131,0.0001439899206161499
132,0.00014401227235794067
133,0.00014403462409973145
134,0.00014405697584152222
135,0.000144079327583313
136,0.00014410167932510376
137,0.00014412403106689453
138,0.0001441463828086853
139,0.00014416873455047607
140,0.00014419108629226685
141,0.00014421343803405762
142,0.0001442357897758484
143,0.00014425814151763916
144,0.00014428049325942993
145,0.0001443028450012207
146,0.00014432519674301147
147,0.00014434754848480225
148,0.00014436990022659302
149,0.0001443922519683838
150,0.00014441460371017456
151,0.00014443695545196533
152,0.0001444593071937561
153,0.00014448165893554688
154,0.00014450401067733765
155,0.00014452636241912842
156,0.0001445487141609192
157,0.00014457106590270996
158,0.00014459341764450073
159,0.0001446157693862915
160,0.00014463812112808228
161,0.00014466047286987305
162,0.00014468282461166382
163,0.0001447051763534546
164,0.00014472752809524536
165,0.00014474987983703613
166,0.0001447722315788269
167,0.00014479458332061768
168,0.00014481693506240845
169,0.00014483928680419922
170,0.00014486163854599
171,0.00014488399028778076
172,0.00014490634202957153
173,0.0001449286937713623
174,0.00014495104551315308
175,0.00014497339725494385
176,0.00014499574899673462
177,0.0001450181007385254
178,0.00014504045248031616
179,0.00014506280422210693
180,0.0001450851559638977
181,0.00014510750770568848
182,0.00014512985944747925
183,0.00014515221118927002
184,0.0001451745629310608
185,0.00014519691467285156
186,0.00014521926641464233
187,0.0001452416181564331
188,0.00014526396989822388
189,0.00014528632164001465
190,0.00014530867338180542
